                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.92508,                0.67406,                0.96647,                0.71405,                0.62477,                0.67651,                0.49289,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.94566,                0.68823,                0.98228,                0.70899,                0.62563,                0.67763,                0.49418,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.94239,                0.68244,                0.97931,                0.70293,                0.63028,                0.68002,                0.49535,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.94109,                0.67358,                0.97933,                0.69743,                0.63346,                 0.6817,                0.49766,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.93793,                0.66531,                0.97397,                0.69889,                0.63392,                0.68216,                0.49838,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.93823,                0.66225,                0.97296,                 0.6936,                0.63882,                0.68305,                0.49819,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.92909,                0.65505,                0.97284,                0.70938,                0.63029,                0.68375,                0.49887,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                 0.9331,                0.65721,                 0.9718,                0.71116,                0.63034,                0.68485,                0.50018,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.92412,                 0.6482,                0.97232,                 0.7245,                0.63107,                0.68572,                0.50122,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.92274,                0.64033,                0.96993,                0.72866,                0.63253,                0.68633,                0.50126,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                 0.9204,                0.63437,                0.96712,                0.73687,                0.62942,                 0.6863,                0.50166,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
